ID,Type_Bowl,Type_Box,Type_Robot,Type_Table,Property_V,Property_G,Type_Attached_Boxes
0,0,0,1,0,0,0,0
1,0,1,0,0,1,1,0
4,0,1,0,0,0,1,0
5,0,1,0,0,0,1,0
6,1,0,0,0,0,1,0
7,1,0,0,0,0,1,0
8,0,0,0,1,0,0,0
23,0,0,0,0,1,1,1
