ID,rel_on_right,rel_on_left,rel_in_right,rel_in_left,rel_attach,rel_in_grasp,rel_grasp
"(1, 4)",1,0,0,0,0,0,0
"(1, 8)",0,1,0,0,0,0,0
"(2, 4)",1,0,0,0,0,0,0
"(2, 5)",0,1,0,0,0,0,0
"(3, 5)",1,0,0,0,0,0,0
"(4, 1)",0,1,0,0,0,0,0
"(4, 2)",1,0,0,0,0,0,0
"(5, 2)",0,1,0,0,0,0,0
"(5, 3)",1,0,0,0,0,0,0
"(6, 8)",1,0,0,0,0,0,0
"(7, 8)",1,0,0,0,0,0,0
"(8, 1)",0,1,0,0,0,0,0
"(8, 6)",0,1,0,0,0,0,0
"(8, 7)",0,1,0,0,0,0,0
