ID,rel_on_right,rel_on_left,rel_in_right,rel_in_left,rel_in_grasp,rel_grasp
"(1, 8)",1,0,0,0,0,0
"(2, 8)",1,0,0,0,0,0
"(3, 8)",1,0,0,0,0,0
"(6, 8)",1,0,0,0,0,0
"(7, 8)",1,0,0,0,0,0
"(8, 1)",0,1,0,0,0,0
"(8, 2)",0,1,0,0,0,0
"(8, 3)",0,1,0,0,0,0
"(8, 6)",0,1,0,0,0,0
"(8, 7)",0,1,0,0,0,0
"(8, 45)",0,1,0,0,0,0
"(45, 8)",1,0,0,0,0,0
